dailymail.co.uk,Tabloid newspaper,NA
rai.it,Public broadcaster,NA
reuters.com,Quality newspaper/magazine,NA
abc.es,Quality newspaper/magazine,NA
20minutos.es,Tabloid newspaper,NA
independent.co.uk,Quality newspaper/magazine,NA
channel4.com,Public broadcaster,NA
indiatimes.com,Quality newspaper/magazine,NA
thehill.com,Quality newspaper/magazine,NA
inews.co.uk,Quality newspaper/magazine,NA
westernjournal.com,Hyperpartisan media,NA
dailykos.com,Hyperpartisan media,NA
worldjusticenews.com,Digital-born news outlet,NA
cnbc.com,Commercial broadcaster,NA
standard.co.uk,Tabloid newspaper,NA
uktv.co.uk,Public broadcaster,NA
thetelegraphandargus.co.uk,Quality newspaper/magazine,NA
usnews.com,Quality newspaper/magazine,NA
derbytelegraph.co.uk,Quality newspaper/magazine,NA
hulldailymail.co.uk,Tabloid newspaper,NA
dailyrecord.co.uk,Tabloid newspaper,NA
thegatewaypundit.com,Hyperpartisan media,NA
plymouthherald.co.uk,Quality newspaper/magazine,NA
kentonline.co.uk,Digital-born news outlet,NA
wired.com,Quality newspaper/magazine,NA
politico.com,Digital-born news outlet,NA
washingtontimes.com,Quality newspaper/magazine,NA
apnews.com,Quality newspaper/magazine,NA
theblaze.com,Hyperpartisan media,NA
washingtonexaminer.com,Quality newspaper/magazine,NA
nbcnews.to,Commercial broadcaster,1
bostonglobe.com,Quality newspaper/magazine,NA
cbsn.ws,Commercial broadcaster,NA
cbsloc.al,Commercial broadcaster,NA
news.com.au,Digital-born news outlet,NA
aljazeera.com,Commercial broadcaster,NA
suntimes.com,Tabloid newspaper,NA
motherjones.com,Quality newspaper/magazine,NA
democratandchronicle.com,Quality newspaper/magazine,NA
nbcnewyork.com,Commercial broadcaster,NA
noticias24.com,Digital-born news outlet,NA
nationalreview.com,Quality newspaper/magazine,NA
rt.com,Hyperpartisan media,NA
vice.com,Digital-born news outlet,NA
theguardian.com,Quality newspaper/magazine,NA
buzzfeed.com,Digital-born news outlet,NA
nytimes.com,Quality newspaper/magazine,NA
roughlyexplained.com,Digital-born news outlet,NA
bbc.com,Public broadcaster,NA
mirror.co.uk,Tabloid newspaper,NA
cnn.com,Commercial broadcaster,1
spiegel.de,Quality newspaper/magazine,NA
globo.com,Commercial broadcaster,NA
arcamax.com,Digital-born news outlet,NA
elpais.com,Quality newspaper/magazine,NA
repubblica.it,Quality newspaper/magazine,NA
businessinsider.com,Digital-born news outlet,NA
bbc.co.uk,Public broadcaster,NA
forbes.com,Quality newspaper/magazine,NA
bloomberg.com,Quality newspaper/magazine,NA
telegraph.co.uk,Quality newspaper/magazine,NA
ft.com,Quality newspaper/magazine,NA
usatoday.com,Tabloid newspaper,NA
elespanol.com,Digital-born news outlet,NA
rtve.es,Public broadcaster,NA
larepublica.pe,Quality newspaper/magazine,NA
thesun.co.uk,Tabloid newspaper,NA
telemundo.com,Commercial broadcaster,NA
express.co.uk,Tabloid newspaper,NA
huffingtonpost.com,Digital-born news outlet,NA
washingtonpost.com,Quality newspaper/magazine,NA
sky.com,Commercial broadcaster,NA
itv.com,Commercial broadcaster,NA
foxnews.com,Commercial broadcaster,1
uol.com.br,Digital-born news outlet,NA
cbs.com,Commercial broadcaster,NA
newsnow.co.uk,Digital-born news outlet,NA
nbc.com,Commercial broadcaster,NA
dailystar.co.uk,Tabloid newspaper,NA
thetimes.co.uk,Quality newspaper/magazine,NA
cbsnews.com,Commercial broadcaster,1
metro.co.uk,Tabloid newspaper,NA
nypost.com,Tabloid newspaper,NA
fox.com,Commercial broadcaster,NA
livenewsnow.com,Digital-born news outlet,NA
nbcnews.com,Commercial broadcaster,1
breitbart.com,Hyperpartisan media,NA
nbcchicago.com,Commercial broadcaster,NA
thedailybeast.com,Digital-born news outlet,NA
sfgate.com,Quality newspaper/magazine,NA
patriotnewsalerts.com,Hyperpartisan media,NA
huffpost.com,Digital-born news outlet,NA
huffingtonpost.co.uk,Digital-born news outlet,NA
foxbusiness.com,Commercial broadcaster,NA
diariolibre.com,Quality newspaper/magazine,NA
cbslocal.com,Commercial broadcaster,NA
rte.ie,Public broadcaster,NA
conservativeinstitute.org,Hyperpartisan media,NA
observer-reporter.com,Quality newspaper/magazine,NA
news4jax.com,Commercial broadcaster,NA
pbs.org,Public broadcaster,NA
